Commentaire;Pseudo;Catégorie;;Traduction FR
Unite people by mocking religion?😂 poor delusional slob, you will enjoy hell😏;penarodriguezjorge;Religion, Grossophobie, Menace;🔴;Unir les gens en se moquant de la religion ? Pauvre idiot délirant, tu vas apprécier l'enfer.
Juste magnifique de mix, de love et classe 😍;pepperonirouge;Soutien;🆗;N/A
Fuk u there for eating the most burgers in a day!?;peter_baelishh;Grossophobie;🔴;"""Va te faire voir pour avoir mangé le plus de hamburgers en une journée !?"""
G0r.d@ asqu.eros@;petervan2245;Grossophobie, Insulte;🆗;Grosse dégoûtante.
Slay 🔥❤️👑;petitecombes;Soutien;🆗;N/A
Jesus é o caminho e a vida.. ela vai te perdoar!!!;phnsiqueira;Religion;🆗;Jésus est le chemin et la vie... il va te pardonner !!!
Orribile vergogna!;photopassion.000;Insulte;🆗;Horrible, honte !
Đỉnh cao trí tuệ pháp 2024 đây sao =)))));phuctran_3004;;🆗;"""C'est le sommet de la sagesse juridique 2024, n'est-ce pas ? =)))))"""
❤️👑;pierremariepm;Soutien;🆗;
Queen !;pierrep577;Soutien;🆗;N/A
❤️❤️❤️❤️👑;pikaboo_in_the_garden;Soutiens;🆗;❤️❤️❤️❤️👑
Bravo Barbara! C’était amazing🔥👑tu es THE queen👑❤️🩵💙💜🧡💛🩷💚💗;pile.poil.ici.la.maintenant;Soutien;🆗;
❤️❤️❤️❤️❤️;pilovelife;Soutien;🆗;
👑;pizzelboy;Soutien;🆗;N/A
Une honte pour la France;plume_de_maje_33;Insulte;🆗;
You looked amazing!;polishirishmomma;Soutien;🆗;Tu étais magnifique ! Honte aux gens qui t'attaquent.
JESUS IS LORD ♥️;posts_of_our_lord_jesus_christ;Religion;🆗;
👑♥️🔥👏;power_rop;Soutien;🆗;-
Barbara you can be whatever you want...;prensandor;Religion;🆗;Tu peux être ce que tu veux, mais tu as offensé les gens. Ta dette envers Dieu sera payée.
O pesar da mão de Deus chega... Os ateus e cristãos querendo ou não. Se estais a defender algo, não ataque outra. Porém o retorno dos céus em breve chegara, e que você ainda tenha tempo de se arrepender e pedir misericórdia ao grande Deus vivo. Paz.🌾;priscilla.yasmin.90;Discrimination (religion);🔴;The weight of God's hand is coming... Whether atheists and Christians want it or not. If you are defending something, do not attack another. However, the return of heaven will come soon, and may you still have time to repent and ask for mercy from the great living God. Peace.🌾
copate faccia da cazzo sgionfa schifosamente schifosa fa un colpo chissa che te soffeghi magnando un panin al mcdonald balenottera gigante suprema;priv.giovvv;Grossophobie, Insulte;🔴;"""Tu as une tête de con, dégueulasse et obèse, fais un malaise et étouffe-toi en mangeant un sandwich chez McDonald's, grosse baleine suprême"""
Jesus is king 👑;procopiopedrot;Religion;🆗;Jésus est roi.
🔥🔥;pseudonath;Soutien;🆗;-
она хрюкает?;pupkogryzov;Insulte;🆗;"""Elle grogne ?"""
♥️♥️♥️;quentin.fer;Soutien;🆗;N/A
Magnifique ❤️;quentin_cardiem;Soutien;🆗;
Je ne te connaissais pas mais j’ai adoré ce tableau, quelle classe !;quentinchabiche;Soutien;🆗;N/A
Amour sur toi ♥️;r0zann;Soutiens;🆗;—
❤️;racheljaud;Soutiens;🆗;—
🤣🤣🤣;radames_clement;Insulte;🆗;Rires moqueurs.
Jesus is ths king;rafaelbuso;Religion;🆗;"""Jésus est le roi."""
Smells like waste;rafaelrvaz;Insulte;🆗;Ça sent le déchet.
The devils work;raiyan_9410;Harcèlement, Religion;🔴;"""Le travail du diable."""
Personnes ne veut de votre monde de dégénéré vous êtes des soldats du diable.... Tout mon soutien au chrétiens du monde ♥️.. unissons nous contre ces satanistes;ramsesrivegauche;Incitation à la haine, Religion;🔴;N/A
YES YES ❤️❤️;raphael_say;Soutien;🆗;-
Liberté d’expression pour dire que t’es une sacrée gourmande on sait maintenant pourquoi y’a plus rien à manger à la cantine olympique;raphaeldlzn_5942;Discrimination (grossophobie);🔴;Freedom of expression to say that you are quite a glutton we now know why there is nothing left to eat in the Olympic canteen
Sans hésitation, votre performance ca été mon moment préféré...;raquel_pinazo;Soutien;🆗;Votre performance a été mon moment préféré de la cérémonie ! Bravo !
You are a D E V I L 😈 on earth ! God will burn you soon;ratrout_rn;Menace, Religion;🔴;Tu es un diable sur Terre ! Dieu te brûlera bientôt.
💩;rawsantana1;Insulte;🆗;-
You look like a zebra. Dirt.💩👎;reber_bargas;Insulte;🔴;"""Tu ressembles à un zèbre. Saleté."""
Fai schifo;rello_erto;Harcèlement, Grossophobie;🔴;
Tu es magnifique !!! Épouse-moi 😍😍😍😍;remaille_von_couton;Soutien;🆗;N/A
RESPECT JESUS ✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️;renzogaido_;Religion;🆗;
♥️♥️♥️;riane_del;Soutien;🆗;N/A
Jesus Christ of Nazareth is our savior.;rickcarlson1981;Religion;🆗;
You will always be the face of the worst olympic ceremony ever;rickystanicky.comments;Critique;🆗;"""Tu seras toujours l'emblème de la pire cérémonie olympique"""
Allez la grosse arrête de pleurer et assume maintenant;risk3.exe;Grossophobie, Incitation à la haine;🔴;"""Allez la grosse, arrête de pleurer et assume maintenant."""
V E R G O N H A;rmnzs_;Discrimination (grossophobie);🔴;"Le mot ""vergonha"" en portugais se traduit par ""honte"" en français. Il peut aussi être utilisé dans des expressions pour signifier ""gêne"" ou ""embarras"", selon le contexte."
Merci pour cette jolie ouverture...;roadbookdromeardeche2022;Soutien;🆗;Merci pour cette belle ouverture.
What kind of Sports do you represent? Gobbling at a 100metars! Look at what you look like? What species do you belong to?Whales?;rob_rob_p;Grossophobie;🔴;"""Quel genre de sport représentes-tu ? Gobbler à 100 mètres ! Regarde à quoi tu ressembles ! À quelle espèce appartiens-tu ? Des baleines ?"""
silly c;robert_julian_7;Insulte;🆗;Idiote
♥️;roblesnatalia;Soutien;🆗;N/A
Gentle reminder that there was a child near some guy who's balls were hanging out and they considered it art.;rockinryan;Critique, Vulgarité;🆗;"""Petit rappel qu'il y avait un enfant près d'un type dont les testicules pendaient et qu'ils ont considéré ça comme de l'art."""
Disgusting;rodrigo.medeiros85;🆗;🔴;"""Dégoutant"""
How does she want to unite people...;rogert71;Grossophobie, Religion;🆗;Comment veut-elle unir les gens ? Vous ne faites ça qu'aux chrétiens. Si c'était envers les musulmans, Paris brûlerait. Va faire un régime.
💩💩;rohnit_jotwani_;Harcèlement;🔴;
gay country France... all Frenchs should be gay😂😂😂;roma_shka45;Homophobie;🔴;France, pays gay. Tous les Français devraient être gays.
sending love and positivity your way! these trolls will move on;rudigersampson;Soutien;🆗;"""Envoie de l'amour et de la positivité. Ces trolls finiront par partir."""
We love you ❤️👑;rush_u90;Soutiens;🆗;We love you ❤️👑
🦧;rwaid.saher;Insulte, Racisme;🆗;- (emoji singe, potentiellement raciste)
Oink oink phatti 😂;ryan.g.090;Grossophobie;🆗;Oink oink, grosse.
I'm not religious but it was completely bad and unnecessary;ryk_vagabond;Harcèlement;🆗;"""Je ne suis pas religieux mais c’était complètement mauvais et inutile."""
Magnifique !!!;sab.bulle;Soutien;🆗;
Uma pessoa de sã consciência teria vergonha disso!;sabrinanovachinski;🔴;"""Une personne de bon sens aurait honte de cela !""";
💥Bravoooooooooooooooo🤩🤩🤩💥;sachagoldberger;Soutien;🆗;N/A
Shameless;safrifulqamal;Critique;🆗;"""Sans honte"""
JESUS IS KING!;sakshi_s2516;Religion;🆗;"""JÉSUS EST ROI !"""
If the people of France were not dirty...;salamyuu79;Haine, Xénophobie;🔴;Si les Français n'étaient pas sales, ils n'auraient pas donné naissance à quelqu'un comme toi.
❤️;salome.louvet;Soutiens;🆗;❤️
☦️☦️☦️👑;sameer_zabaneh;Religion;🆗;"""Croix et couronne."""
You are a queen 💝;samira.abderrahim;Soutien;🆗;N/A
👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻;sand_rz__;Harcèlement;🔴;
"Unpleasant and disrespectful person in your physique, in your ideas, we all hate your """"presentation"""". You have no talent at all!";sandsea_11;Grossophobie, Harcèlement;🔴;
Disgusting;santiagosantosclavijo;Insulte;🆗;"""Dégueulasse"""
🤣🤣🤣yikes;saobl84;🆗;🔴;"""Oups"" (expression négative)"
❤;sarachouandleeloo;Soutiens;🆗;❤
💙;sarah_chalal;Soutien;🆗;-
❤️❤️❤️;sarah_hedu;Soutien;🆗;N/A
Force ma Leslie @barbarabutch 🙏🏼🙏🏼🙏🏼💪🏼❤️❤️❤️🕊️;saralibellule;Soutien;🆗;
💩💩💩💩💩💩;satrioktavian;🆗;🔴;"""Crotte"" (représenté par des emojis)"
Total soutien. Mille bravos à vous!;sautereauflorence;Soutien;🆗;N/A
Burn;sc0ttparker;Menace;🔴;Brûle
Magnifique ♥️♥️♥️♥️♥️;scheideggernicolas;Soutien;🆗;-
Ironically These people know no love…only hate and that showed clearly. It is disgusting what was Displayed on TV;seb_feat_roy;Harcèlement;🔴;
A barrel full of shit ….120 kg of shit;sebastian_marginean;Harcèlement, Grossophobie;🔴;
👑 ♥️;sebastien.robit;Soutien;🆗;N/A
😂😂😂😂😂😂😂;seelovego;Insulte;🆗;-
Shame on you, everyone participating and the Organisators;selfsewing;Harcèlement;🔴;
feia;senhormiau7;Grossophobie;🔴;"""Laide"" (en portugais)"
Uniting people by mocking Christianity!?;senlagasmic;Harcèlement, Religion;🔴;
Shame on you;serena_semaan;Insulte;🆗;Honte à toi.
🫶🏼;sevguigui;Soutien;🆗;N/A
Fantastique ♥️ Bravissima ❤️ un régal 😘😘😘;sfbcrea;Soutiens;🆗;Fantastic ♥️ Bravissima ❤️ a delight 😘😘😘
How can you represent sports. Look at yourself honestly. This is you 💩;shain_82;Grossophobie;🔴;"""Comment peux-tu représenter le sport. Regarde-toi honnêtement. C'est toi."""
Christ is lord;sharpknivessavelives_;Religion;🆗;Le Christ est Seigneur
Don't worry I'm the way to mede u soon;sheldonvazz;Menace, Harcèlement;🔴;
Disgusting;shelfie_seewuu;Discrimination (grossophobie);🔴;Dégoutant
Satan;shelfie_seewuu;Discrimination (religion);🔴;Satan
Shame on you;sheqell;Harcèlement;🔴;
ثمينه وقبيحه;sherif.fawzy84;Grossophobie;🔴;"""Grosse et laide"" (en arabe)"
😂😂😂😂😂😂;sherif.fawzy84;🆗;🆗;—
What sport would you be able to perform?;shla.bba;Grossophobie;🔴;"""Quel sport serais-tu capable de pratiquer ?"""
Christ is King!!! Not this.. absolute shame on you.. disgusting;shokunin.shefu;Intimidation, Religion;🔴;"""Le Christ est roi !!! Pas ça... honte absolue pour vous... dégoûtant."""
Parece um ônibus;silvadn2011;Harcèlement, Grossophobie;🔴;
More chins than a chinese phone book;sip_andpaint_withfrank;Grossophobie, Racisme;🔴;Plus de mentons qu'un annuaire téléphonique chinois
SHE'S GONNA SUE! Olympics 2024 opening star threatens to JAIL and SUE her critics! LOL, good luck suing you f@t hippo;skaterfxhockey;Grossophobie, Dénigrement;🔴;Elle va porter plainte ! La star de l'ouverture des JO 2024 menace d'emprisonner et de poursuivre ses critiques ! LOL, bonne chance pour poursuivre, gros hippopotame
❤️🧡💛💚🩷🩵🤍🖤🤎🩶;skippo_the_beat;Soutien;🆗;N/A
Tu nu ești rege ci ISUS e rege;slavnicudaniela;Religion;🆗;"""Tu n’es pas roi, mais Jésus est roi."""
99 problems in this pic, start off by hitting the gym;slickricktypanigga;Grossophobie;🔴;"""99 problèmes sur cette photo, commence par aller à la salle de sport"""
❤️❤️❤️❤️;sncfsebastien;Soutiens;🆗;❤️❤️❤️❤️
Be an equal opportunist and disrespect Islam for the closing ceremonies 🙏🙏🙏 Let’s see if you have the guts (no pun intended 💀💀💀);snottiedrippen33;Religion, Incitation à la haine;🔴;"""Sois équitable et manque de respect à l'Islam pour la cérémonie de clôture 🙏🙏🙏 Voyons si tu as le courage (jeu de mots intentionnel 💀💀💀)"""
♥️♥️♥️♥️😍;so.me.67;Soutien;🆗;
Merci pour avoir représenté la France, la vraie celle qu'on aime, qui aime et qui est diversifiée 👑🔥;soflytek;Soutien;🆗;
Bibendum;sole_sole777;Grossophobie;🆗;Bibendum (référence au célèbre bonhomme Michelin, impliquant une insulte liée au poids)
Elle est un peu extra large pour une cérémonie sportive;soniaetsonia;Grossophobie;🆗;Elle est un peu trop grande pour une cérémonie sportive.
❤️;sophie230881;Soutien;🆗;N/A
👑❤️ merci à vous! Nous vous aimons!🔥🔥;sophieknittl;Soutien;🆗;-
❤️❤️❤️❤️👏👏👏👏👏🔥🔥🔥🔥👑🔥❤️❤️😍😍;sophietroise;Soutien;🆗;N/A
♥️♥️♥️;sopoulet;Soutien;🆗;N/A
Ridiculous!;sormanisdrigotti;Insulte;🆗;Ridicule
Tout mon soutien ♥️ le show était superbe;sotooow;Soutien;🆗;
Ce n'est pas vraiment de ta faute, les responsables c'est surtout Jolly et Boucheron. A vouloir faire de l'idéologie devant le monde entier, retour de bâton!;spearojeff;Critique;🆗;"""Ce n'est pas vraiment ta faute, c'est la faute de ceux qui ont voulu imposer une idéologie."""
All religious ppl sending hate, Jesus didn't die for you to behave that way but hell is waiting for you (also because you never opened a book or visited a museum and heard of Dionysos but 😌). Tu étais superbe 😻 plein de love, de soutien et de mercis de donner autant de force à chacun.e pour vivre sa vie pleine d'amour et de fierté !;sprangemma;Soutien;🆗;"""Tous les religieux qui envoient de la haine, Jésus n’est pas mort pour que vous vous comportiez ainsi, mais l’enfer vous attend."""
❤️;stephanie_rouget;Soutien;🆗;N/A
🔥🔥🔥👑👑👑❤️❤️;stephremola;Soutiens;🆗;—
What were you doing there... You are just a ball of grease!!;stoneheart16_;Grossophobie, Religion;🔴;Qu'est-ce que tu faisais là ? Tu es juste une boule de graisse. Va faire de l'exercice au lieu de te moquer des chrétiens.
🩷;strobomag;Soutien;🆗;
JESUS IS KING 👑;sueeelen_santoos;Religion;🆗;"""Jésus est Roi"""
Your mother is green.;suffianrazi;Insulte;🆗;Ta mère est verte.
😍👑❤️🔥🔥🔥;suleniescamilla;Soutien;🆗;-
Tu es notre reine à toustes 🩷💚;super_ceramics;Soutiens;🆗;—
Jesus loves uuuu;suranth.raj;Religion;🆗;Jésus t'aime.
J'étais en train de signaler les commentaires hyper haineux mais je dois m'arrêter car les gens sont trop affligeants. Je suis choquée 😨 Tellement de personnes qui se permettent de commenter sur des choses hors de propos comme le physique. Cette partie de la cérémonie était belle, cohérente et inclusive. Merci ❤️‍🔥;sweet.weapon;Soutiens;🆗;—
T’es la plus rayonnante des reines ❤ ️;sxtqchn;Soutien;🆗;N/A
Fat gay querer;syahran.amsi;Grossophobie, Homophobie;🔴;"""Gros gay bizarre"""
🍔🍔🍔🍔🍔...;tabo_aftg;Grossophobie;🆗;Émojis de hamburgers (grossophobie).
Na ceia das olimpíadas, faça como Jesus, divida os paes, não coma todos. Balofa;tafarel.oliveira_;Grossophobie, Religion;🔴;Au repas des Olympiades, fais comme Jésus, partage le pain, ne mange pas tout. Gros tas.
Dès que je vous ai vu apparaître, je me suis dit cette femme est vraiment belle ❤️;tagadafraise;Soutien;🆗;N/A
Never ever believe and respect to a jewish gay;takesavintage;Homophobie, Antisémitisme;🔴;Ne crois jamais ni ne respecte un homosexuel juif.
Bravo 👏👏👏👏👏👏;tant_qu_il_y_aura_des_hommes_;Soutien;🆗;Bravo.
🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼;taskingoec;?;🆗;Incompréhensible
sublime 🔥👑❤️;tatizb;Soutien;🆗;-
Tienes suerte de no atacar a los barbudos sino hace rato estarías 🔥🔥🔥🔥🔥🔥;tavojce;Harcèlement, Menace;🔴;"""Tu as de la chance de ne pas attaquer les barbus sinon tu serais en flammes depuis longtemps."""
🔥♥️;tde_co;Soutien;🆗;Feu et cœur (soutien).
Disgusting;tekismk23;Insulte;🆗;Dégoutant
Thank you for putting together an incredible show encouraging love and tolerance. You give more soul and heart than any of the hateful bigots in the comments. I appreciate you and your art, thank you for sharing it with us. 💛🖤❤️🩶💙🧡💚;tgarciaart;Soutien;🆗;N/A
SO PROUD OF YOU THANK YOU ♥️👏🔥👑❤️;th3ology;Soutien;🆗;-
La peor blasmefia contra Dios, Dios no puede ser burlado jamás, arrepiéntete o sufre las consecuencias, Dios puede desatar toda su ira sobre ti, tienes tiempo para arrepentirte. Hazlo ahora!! Dios rey de reyes señor de señores para siempre amén!!👑;thatkris._;Religion, Menace;🔴;Le pire blasphème contre Dieu, on ne se moque jamais de Dieu. Repens-toi ou souffre des conséquences, Dieu peut déchaîner toute sa colère sur toi. Tu as encore le temps de te repentir. Fais-le maintenant !! Dieu, roi des rois, seigneur des seigneurs pour toujours, Amen !!👑
Disgusting;theone.7777.7;Insulte;🆗;Dégoûtant.
The vermin of earth;theoriginallsolo;Insulte grave;🔴;"""Les vermines de la terre"""
👏;thepiecemakers_france;Soutien;🆗;N/A
I just threw up... God hates you and people like you...;thereal_odee400;Religion, Haine, Menace;🔴;J'ai vomi. Dieu te déteste, toi et les gens comme toi. Il n'y a pas de place au paradis pour vous.
On. T'aime 🔥❤️;therealmarie_revelut;Soutien;🆗;
Avec toi ma belle!! Ne lâche rien!! ❤❤❤;theymademechangemyinstaname;Soutien;🆗;N/A
Maravilhosa;thsanchita;Soutien;🆗;"""Merveilleuse."""
❤️👑;tia_gigi_;Soutien;🆗;N/A
Mirou na santa ceia e acertou na arca de Noé;tiagolp89;Grossophobie;🆗;"""A visé la Cène mais a touché l'arche de Noé."" (Portugais)"
❤️👑❤️;tibtab;Soutiens;🆗;—
Seeing This F4T P1G in the Olympics was ridiculous;ticotimes2;Grossophobie;🔴;Voir ce gros porc aux JO était ridicule.
Jesus pardonne mais pas moi sale obèse.;timothy.drl;Harcèlement, Grossophobie, Religion;🔴;
You should consider losing weight;tinapittarelli;Grossophobie;🆗;Tu devrais envisager de perdre du poids.
Love activist 😂😂😂😂 are you sure about it ?;tkgabz;🆗;🔴;"""Activiste de l'amour 😂😂😂😂 es-tu sûr de ça ?"""
❤️❤️❤️❤️❤️❤️ bravo et encore bravo !!👏;tommybxl;Soutien;🆗;
Let's assume you were standing...;tomo.sunny;Culture, Religion;🆗;Ce que vous avez fait est une insulte à la culture grecque et à l'athlétisme.
😂;tookbefore;Moquerie;🆗;N/A
❤️❤️❤️;toutflammes;Soutien;🆗;
Why trans people alive and breathing?;traphousemafia111;Transphobie;🔴;Pourquoi les trans sont-ils vivants et respirent-ils ?
Lol, what this meattt doing on olympic???😂😂😂 Wide, fattyyy, smell, even my dog dont want to eat this😂😂😂;tumitumi9693;Harcèlement, Grossophobie;🔴;"""LOL, qu’est-ce que cette viande fait aux Jeux olympiques ? Large, grasse, ça pue, même mon chien ne veut pas manger ça."""
Falta de respeito, ridículo.;txgeraldo;Insulte;🆗;Manque de respect, ridicule (portugais).
Jesus é o caminho a verdade e a vida.;txgeraldo;Religion;🆗;Jésus est le chemin, la vérité et la vie (portugais).
Todo joelho dobrará e toda língua...;txgeraldo;Religion;🆗;Tout genou se pliera et toute langue confessera que Jésus-Christ est Seigneur (portugais).
Shame;ulalumeshangai;🆗;🔴;"""Honte"""
WACALA;unanochesincafeqotes;Insulte;🆗;N/A
Femeninomenon! 👏👑♥️;v2thevl0;Soutiens;🆗;Femeninomenon!
Please ignore all the positive comments and delete your account and existence;valentineflips;Harcèlement, Incitation au suicide;🔴;Ignore les commentaires positifs et supprime ton compte et ton existence.
Love love love ♥️;valmatnja_1336;Soutien;🆗;Amour, amour, amour.
uakkkkk thui;vankal.gram;Harcèlement, Vulgarité;🔴;"""Beurk, dégoûtant."" (traduction approximative)"
👏♥️👑 Magnifique;vany_bi;Soutien;🆗;N/A
Inappropriate for the Lord Jesus Christ 🙏;vegaadrianbklyn;Religion;🆗;Inapproprié pour le Seigneur Jésus-Christ.
Vous étiez belle et inspirante. Vous avez laissé tomber ceci 👑.;veronique.nunes;Soutien;🆗;
You think you can sit in the seat of God...;vesperlynnd;Religion;🆗;Tu penses pouvoir t'asseoir sur le trône de Dieu sans conséquences ?
tu ne vaux pas la merde que tu manges;victorventurellimosconi;Insulte;🔴;"""Tu ne vaux pas la merde que tu manges"""
Sois la representacion de la degeneración social de las ultimas décadas en europa.;viiccctoorr_;Harcèlement, Discrimination;🔴;
Que la unica corona que deberias ponerte es la del burguer joder;viiccctoorr_;Harcèlement, Grossophobie;🔴;"""La seule couronne que tu devrais porter est celle du Burger, bordel."""
Ojala te atragantes ahi con la hamburguesa esa de mierda de david muñoz en el burguer y estallles pazo bufala;viiccctoorr_;Harcèlement, Grossophobie, Menace;🔴;"""J'espère que tu t'étoufferas avec ce hamburger de m... au Burger, et que tu exploseras comme une vache."""
AVE CHRISTUS REX ✝️;vijexsh;Religion;🆗;"""Vive le Christ Roi."""
Welcome to hell!!!;viktor_76_15;Intimidation;🔴;"""Bienvenue en enfer !!!"""
🤬😡😡 RIDÍCUL@... MONSTR@😂;vila_multimarcas_;🔴;"""RIDICULE... MONSTRE 😂""";
Queen 🔥;vincent_jacqt;Soutien;🆗;Reine.
gor d 4 l1x0;viniciuserc_;Insulte;🔴;Incompréhensible mais connotation insultante - gorda = grosse
Cristo Vive 👑❤️ Jesus é o caminho a verdade e a vida !;vitor_man0el77;Religion;🆗;"""Le Christ vit 👑❤️ Jésus est le chemin, la vérité et la vie"""
💩💩💩💩💩;vivas2305;Insulte;🆗;Caca (insulte).
❤️❤️❤️❤️;vivcitronvif;Soutien;🆗;N/A
❤️❤️❤️❤️;vlescao64;Soutien;🆗;N/A
🔥♥️ We love U!;vmontmartin;Soutien;🆗;"""On t’aime !"""
You're perfect !;volponi___;Soutien;🆗;
Hidden message France sends to the world: If you do not play sports, you could be her;votrimotchutthoi;🆗;—;"""Message caché que la France envoie au monde : Si tu ne fais pas de sport, tu pourrais être elle."""
😜😜😜🤑🤑👿👿👿😡😡😡;wagdisob;Emoji agressif;🆗;
👢👢👢👡👡👡;wagdisob;Incompréhensible;🆗;
Jesus te ama. Arrependa-se enquanto ainda há tempo. 🙏✝️🛐;wermeson_andrade1;Religion;🆗;Jésus t'aime. Repens-toi pendant qu'il en est encore temps. 🙏✝️🛐
BLOODY FREAK! You need to be in a CIRCUS!;why_see_k;Harcèlement;🔴;"""Monstre ensanglanté ! Tu devrais être dans un cirque !"""
do you identify as a pig??;wielka_polska1;Grossophobie;🔴;
Vous êtes merveilleux, félicitations ! ♥️;wilberlacerda;Soutien;🆗;Vous êtes merveilleux, félicitations.
Hit the gym dishwasher;xblvckjesusx;Grossophobie, Sexisme;🆗;Va à la salle, lave-vaisselle.
🩷💕;xiaoxing;Soutien;🆗;-
Satanist;xiwanglo;Religion;🆗;Sataniste
❤️❤️❤️❤️❤️;xnguegoue;Soutien;🆗;
Depois reclama de sofrer bullying;yagokhalfani;🆗;🔴;"""Ensuite, tu te plains de subir du harcèlement."""
♥️♥️♥️♥️♥️;yangone_starkiller;Soutiens;🆗;—
🫶🏾✨;yannick.bouquet;Soutiens;🆗;—
Jesus loves u;yaquiisieras;Religion;🆗;Jésus t'aime
Eres un fracaso y desperdicio de vida, estás perdida en este mundo;yerkomjr;Psychophobie, Incitation à la haine;🔴;"""Tu es un échec et un gâchis de vie, tu es perdue dans ce monde."" (Espagnol)."
What did u have for dinner?;yhabashi;Grossophobie;🔴;"""Qu'est-ce que tu as mangé pour dîner ?"""
She can now forever say that she opened the 2024 Olympic Games...;yilmaz_cano_okan;Insulte, Grossophobie;🆗;Elle peut dire qu'elle a ouvert les JO 2024, tout comme un âne en Allemagne peut dire qu'elle est Miss Allemagne.
Blasphème.. que Dieu vous punisse.. on ne joue pas avec Dieu..;ynezabarbara;Intimidation, Religion;🔴;N/A
JESUS HELP HER;yosipaam;Religion;🆗;
Хрю хрю😂😂😂😂;yuliyaschmitt19;Grossophobie;🆗;Oink oink (rire).
Christ is KING 👑👑👑👑;yunaaxofit;Religion;🆗;"""Le Christ est roi."""
Embarrassing;zachary_conklin_;Harcèlement;🆗;"""Embarrassant."""
Bravo👏👏🔥🔥👑;zazanapoli33;Soutiens;🆗;—
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕;zefcumraku97;Insulte;🆗;Doigts d'honneur.
J'ai loupé un épisode mais la religion chrétienne n'est pas censée être fondée sur des principes de tolérance ? Sympa d'aider Dieu à faire le tri dans son cheptel... il va avoir du taff 😂;zegiiza;Soutien, Religion;🆗;
Majin buu;zhadinisme;Grossophobie;🆗;- (référence à un personnage gros dans Dragon Ball)
It was disgusting;ziaaja;🆗;🔴;"""C'était dégoûtant"""
We got majin bu at the olympics...;zinga_junior68;Grossophobie;🆗;On a Majin Boo aux JO avant GTA 6 (référence à un personnage gros).
А как этот шар жира связан со спортом?;zolvins;Grossophobie;🔴;"""Comment cette boule de graisse est-elle liée au sport ?"" (en russe)"
